Ang_dev,BX,BY,BZ,ChisQ_DOF_nonlin,EW_flowangle,NS_flowangle,Proton_Np_moment,Proton_Np_nonlin,Proton_VX_moment,Proton_VX_nonlin,Proton_VY_moment,Proton_VY_nonlin,Proton_VZ_moment,Proton_VZ_nonlin,Proton_V_moment,Proton_V_nonlin,Proton_W_moment,Proton_W_nonlin,Proton_Wpar_moment,Proton_Wpar_nonlin,Proton_Wperp_moment,Proton_Wperp_nonlin,Proton_sigmaNp_nonlin,Proton_sigmaVX_nonlin,Proton_sigmaVY_nonlin,Proton_sigmaVZ_nonlin,Proton_sigmaV_nonlin,Proton_sigmaW_nonlin,Proton_sigmaWpar_nonlin,Proton_sigmaWperp_nonlin,dev,xgse,ygse,ygsm,zgse,zgsm,target
2.667998075,-17.1572113,-7.587907791,13.71342373,0.137474969,24.71673584,-7.822789192,4.668709755,4.657576084,-312.3654175,-304.5970459,-90.66667938,-140.2067871,-39.96958542,-46.06855392,327.7044067,338.4665527,85.00298309,113.4936218,106.5726318,87.29994202,72.85469818,124.5414047,0.119144022,93.20735168,88.37444305,32.01120377,91.62457275,49.179142,42.11091995,65.5846405,1.437257767,-5.503322601,-19.18204498,-17.62412643,-0.061022595,7.574602604,1
2.471955299,-12.93531227,-8.06238842,-12.40699387,0.477862805,19.78378487,2.101752043,5.886622429,5.593954563,-340.3678894,-345.7201538,-97.00148773,-124.3563995,5.914311886,13.48340511,353.9697266,367.6530151,96.85169983,115.2978516,115.1410751,93.18727875,89.86853027,124.8937912,0.223983362,75.320755,66.498703,7.288489342,74.31363678,48.1757164,46.2005806,64.44634247,1.572221518,-5.212629795,-19.76749039,-17.93858337,-0.021885976,8.306038857,1
2.978481054,-13.67701244,-8.060324669,-11.90914059,0.413596511,19.50771332,3.026166677,6.518247604,6.537534714,-335.0785522,-340.0754395,-99.20907593,-120.4785614,13.07799053,19.07320786,349.7014465,361.2896118,97.19407654,125.5900192,114.1198196,105.383255,96.64984131,134.560257,0.172365412,74.90737915,67.16036224,11.09346294,73.98265076,48.30471802,45.09660721,65.28051758,1.717506051,-5.197257519,-19.79801941,-17.95431137,-0.019825198,8.3447752,1
1.996353984,-12.56460571,-8.407249451,-10.37946892,0.389015466,17.87730217,1.268024921,6.767141342,6.645261765,-338.545929,-346.3144226,-89.69454193,-111.7050171,3.24851656,8.054512024,350.2413635,363.9732971,98.0431366,127.8112946,112.3327408,103.9018021,88.97011566,138.2237244,0.172648132,78.14558411,62.30855942,4.603851795,76.77393341,49.73892593,43.36824799,67.03488922,1.353188396,-5.181874752,-19.82851028,-17.96993256,-0.017764322,8.383532524,1
2.335818768,-13.85785294,-8.210220337,-9.347676277,0.069228351,17.78787804,1.117510796,7.387317181,5.952280045,-347.837616,-353.3586426,-89.89328003,-113.3685913,8.083248138,7.238930702,359.3565674,371.1700134,103.3689499,112.3110199,114.0507507,92.82295227,96.1367569,120.8825684,0.234553277,100.5195923,61.69763565,3.929550171,97.53379059,51.83636856,41.54211426,70.4584198,1.627582073,-5.166481972,-19.85895729,-17.98545074,-0.015703354,8.422306061,1
11.23985195,-9.994113922,-7.887639046,-13.49074173,1.212240815,18.5862751,0.931739926,6.851365089,5.02022171,-349.8515015,-354.8096008,-79.57363129,-119.3120117,1.75745821,6.087913513,358.7911987,374.3825073,102.1151962,92.19772339,107.4631271,81.28244019,98.83935547,97.19677734,0.12311659,83.89499664,61.92230606,3.085930347,81.92132568,29.60034752,41.69329453,38.33942413,1.490778327,-5.150598049,-19.89031601,-18.0013485,-0.013577901,8.462305069,1
8.571436882,-8.173003197,-6.375176907,-15.63332558,0.166154355,18.70969582,2.004631758,9.136483192,7.638462543,-350.8453979,-358.2663574,-90.50539398,-121.3340454,3.423413992,13.2395649,362.3471375,378.4864807,101.4281235,102.0106277,104.3334045,94.56413269,102.9635315,105.5370331,0.328648925,82.27193451,56.56447983,6.270678043,79.9602356,32.35224915,55.66127396,39.72904205,2.081967115,-5.104813099,-19.98034477,-18.04652405,-0.007458732,8.577507019,1
7.715461254,-8.481379509,-5.632559299,-16.4109478,0.125450894,19.82971573,2.316750765,9.493246078,9.55739212,-360.5297852,-368.0054321,-115.5379028,-132.7057495,19.24728966,15.82684135,379.0794067,391.521759,110.3926086,126.2374115,126.8530045,121.4300156,112.762825,128.5737152,0.465221524,65.30935669,62.6822319,7.746811867,64.96006775,38.5444603,75.26915741,44.26111221,2.091944695,-5.089372158,-20.01059151,-18.06155205,-0.005397433,8.616318703,1
4.219836235,-11.01393795,-8.402080536,-12.06104088,0.595941365,22.33970642,2.09231925,7.156157494,7.038087845,-334.3069763,-340.1775208,-115.1833725,-139.79245,0.856885493,13.4365387,353.5945435,368.026123,94.24580383,113.4990692,107.3537903,97.02178192,96.74885559,120.8984909,0.352693468,105.5707092,78.53862,7.469281197,102.0407944,46.63264847,51.62730026,62.3147583,1.867172122,-4.996531487,-20.19122887,-18.14982796,0.006971254,8.849049568,1
3.637119293,-9.733457565,-8.095739365,-17.01216125,0.790857255,23.38763428,2.755546093,7.605193615,7.880942822,-336.0715332,-338.054718,-115.3384933,-146.202713,11.87326241,17.72719002,355.5109253,368.7417297,95.27718353,108.0827103,120.5027237,88.45545959,93.26115417,116.6645813,0.272083968,71.46444702,69.23812866,8.092796326,71.037117,30.10151291,49.97337341,37.29488754,1.546242595,-4.965513706,-20.25112534,-18.17857742,0.011094286,8.926498413,1
3.557379007,-9.341493607,-8.663887978,-17.10488892,0.410615712,21.12622452,2.100902319,7.775254726,7.685085773,-340.2009888,-348.1616516,-103.4227371,-134.5275116,-5.130419731,13.69227505,355.611145,373.4992371,94.88359833,108.8128052,93.61573029,102.5059586,100.2518005,111.8329239,0.176984668,58.37587357,52.42411804,5.955467224,57.59912109,25.91434288,52.55952835,29.15911102,1.523780584,-4.949991703,-20.2810154,-18.19283295,0.013155787,8.965185165,1
3.2859869,-8.821288109,-8.206468582,-19.00196457,1.064911723,21.22594261,2.385831356,7.445323944,6.47847414,-350.3923035,-359.2748718,-125.1301956,-139.5407257,17.04010201,16.05848694,372.4549561,385.7562866,98.49230957,94.85919952,117.2793961,74.54763794,100.7834244,103.5312805,0.152562112,73.38335419,55.54401398,6.798945427,71.23841095,25.00107384,47.91117859,29.71698952,1.945760727,-4.934461594,-20.31086731,-18.20701218,0.015217299,9.003843307,1
2.900430679,4.646513462,0.862796187,-19.61010742,0.113517113,28.71862602,1.851640821,7.86792469,9.37167263,-337.744873,-336.0910339,-125.4929276,-184.1465149,10.05543423,12.38932514,360.4458313,383.4326782,101.4764633,121.357605,95.36489105,101.0175018,112.0652084,130.3427582,0.046858363,12.10047722,12.65174198,1.46927321,12.22367001,8.762783051,28.45290756,5.310789108,0.923850417,-4.450031757,-21.22145081,-18.62007904,0.079100966,10.18239403,1
2.629570961,7.240734577,4.543725014,-18.56125641,0.075553626,28.69285393,3.974872112,5.77351141,6.967679501,-336.2893982,-332.2612915,-128.1300354,-181.8538818,16.27147102,26.31941223,360.2396851,379.6855469,98.24523926,117.5061111,107.0738831,94.47057343,111.8247986,127.47229,0.034838397,4.335607529,4.316973209,1.123161912,4.321601868,2.026694298,4.992806435,2.104840994,0.528341651,-4.134417534,-21.79197502,-18.86673164,0.120259054,10.90655327,1
3.638949394,8.500247955,6.245317459,-18.59731293,0.072448641,29.25162697,1.907799721,5.943015099,7.46152544,-330.2113953,-328.0758362,-122.7683182,-183.7435455,3.899699926,12.52530861,352.3163757,376.234436,96.39736938,120.1719971,109.6614456,92.24554443,108.1135178,131.9368896,0.044875912,31.24943542,32.63872147,3.599223614,31.56943321,14.11622238,30.24448967,16.12980843,0.885163009,-4.118618488,-21.82034302,-18.8790226,0.122315511,10.94217396,1
2.955719233,8.830199242,7.310150146,-17.02457428,0.112646185,28.86284256,1.499704123,5.387155533,6.43752718,-333.630188,-330.4851074,-113.9942703,-182.1580353,3.473900557,9.879617691,352.5845642,377.4911499,99.08136749,122.265831,114.6236191,95.6734314,103.79142,133.5915222,0.113848664,111.4773865,91.2766571,5.277318001,107.0747299,44.29130554,64.1281662,56.30172729,0.549822986,-4.087003231,-21.87697411,-18.90353394,0.126427814,11.01309967,1
